TZname,UTCoffset
Asia/Hebron,2
Asia/Ho_Chi_Minh,7
Asia/Hong_Kong,8
Asia/Hovd,7
Asia/Irkutsk,8
Asia/Istanbul,3
Asia/Jakarta,7
Asia/Jayapura,9
Asia/Jerusalem,2
Asia/Kabul,4
Asia/Kamchatka,12
Asia/Karachi,5
Asia/Kashgar,6
Asia/Kathmandu,5
Asia/Katmandu,5
Asia/Khandyga,9
Asia/Kolkata,5
Asia/Krasnoyarsk,7
Asia/Kuala_Lumpur,8
Asia/Kuching,8
Asia/Kuwait,3
Asia/Macao,8
Asia/Macau,8
Asia/Magadan,11
Asia/Makassar,8
Asia/Manila,8
Asia/Muscat,4
Asia/Novokuznetsk,7
Asia/Novosibirsk,7
Asia/Omsk,6
Asia/Oral,5
Asia/Phnom_Penh,7
Asia/Pontianak,7
Asia/Pyongyang,9
Asia/Qatar,3
Asia/Qyzylorda,5
Asia/Rangoon,6
Asia/Riyadh,3
Asia/Saigon,7
Asia/Sakhalin,11
Asia/Samarkand,5
Asia/Seoul,9
Asia/Shanghai,8
Asia/Singapore,8
Asia/Srednekolymsk,11
Asia/Taipei,8
Asia/Tashkent,5
Asia/Tbilisi,4
Asia/Tehran,3
Asia/Tel_Aviv,2
Asia/Thimbu,6
Asia/Thimphu,6
Asia/Tokyo,9
Asia/Tomsk,7
Asia/Ujung_Pandang,8
Asia/Ulaanbaatar,8
Asia/Ulan_Bator,8
Asia/Urumqi,6
Asia/Ust-Nera,10
Asia/Vientiane,7
Asia/Vladivostok,10
Asia/Yakutsk,9
Asia/Yangon,6
Asia/Yekaterinburg,5
Asia/Yerevan,4
Atlantic/Azores,-1
Atlantic/Bermuda,-4
Atlantic/Canary,0
Atlantic/Cape_Verde,-1
Atlantic/Faeroe,0
Atlantic/Faroe,0
Atlantic/Jan_Mayen,1
Atlantic/Madeira,0
Atlantic/Reykjavik,0
Atlantic/South_Georgia,-2
Atlantic/St_Helena,0
Atlantic/Stanley,-3
Australia/ACT,10
Australia/Adelaide,9
Australia/Brisbane,10
Australia/Broken_Hill,9
Australia/Canberra,10
Australia/Currie,10
Australia/Darwin,9
Australia/Eucla,8
Australia/Hobart,10
Australia/LHI,10
Australia/Lindeman,10
Australia/Lord_Howe,10
Australia/Melbourne,10
Australia/North,9
Australia/NSW,10
Australia/Perth,8
Australia/Queensland,10
Australia/South,9
Australia/Sydney,10
Australia/Tasmania,10
Australia/Victoria,10
Australia/West,8
Australia/Yancowinna,9
Brazil/Acre,-5
Brazil/DeNoronha,-2
Brazil/East,-3
Brazil/West,-4
Canada/Atlantic,-4
Canada/Central,-6
Canada/Eastern,-5
Canada/Mountain,-7
Canada/Newfoundland,-3
Canada/Pacific,-8
Canada/Saskatchewan,-6
Canada/Yukon,-8
CET,1
Chile/Continental,-4
Chile/EasterIsland,-6
CST6CDT,-6
Cuba,-5
EET,2
Egypt,2
Eire,0
EST,-5
EST5EDT,-5
Etc/GMT,0
Etc/GMT+0,0
Etc/GMT+1,-1
Etc/GMT+10,-10
Etc/GMT+11,-11
Etc/GMT+12,-12
Etc/GMT+2,-2
Etc/GMT+3,-3
Etc/GMT+4,-4
Etc/GMT+5,-5
Etc/GMT+6,-6
Etc/GMT+7,-7
Etc/GMT+8,-8
Etc/GMT+9,-9
Etc/GMT0,0
Etc/GMT-0,0
Etc/GMT-1,1
Etc/GMT-10,10
Etc/GMT-11,11
Etc/GMT-12,12
Etc/GMT-13,13
Etc/GMT-14,14
Etc/GMT-2,2
Etc/GMT-3,3
Etc/GMT-4,4
Etc/GMT-5,5
Etc/GMT-6,6
Etc/GMT-7,7
Etc/GMT-8,8
Etc/GMT-9,9
Etc/Greenwich,0
Etc/UCT,0
Etc/Universal,0
Etc/UTC,0
Etc/Zulu,0
